ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Join_Year,Join_Month,Join_Day,Age
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5.0,5.0,6.0,0.0,2.0,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013,11,15,43
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6.0,16.0,11.0,11.0,1.0,16.0,1,2,0,3,8,0,0,0,0,0,0,3,11,0,2012,11,13,50
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194.0,61.0,480.0,120.5,81.0,30.0,1,3,4,8,2,0,0,0,0,0,0,3,11,0,2013,11,15,67
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233.0,2.0,53.0,3.0,5.0,14.0,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2013,11,15,74
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3.0,14.0,17.0,6.0,1.0,5.0,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2012,10,10,39
2114,1946,Phd,Single,82800.0,0,0,2012-11-24,23,1006.0,22.0,115.0,59.0,68.0,45.0,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2012,11,24,80
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53.0,5.0,19.0,2.0,13.0,4.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,12,24,46
4939,1946,Graduation,Married,37760.0,0,0,2012-08-31,20,84.0,5.0,38.0,120.5,12.0,28.0,2,4,1,6,7,0,0,0,0,0,0,3,11,0,2012,8,31,80
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012.0,80.0,498.0,0.0,16.0,126.5,2,11,4,9,5,0,0,0,1,0,0,3,11,0,2013,3,28,77
2278,1985,2N Cycle,Single,33812.0,1,0,2012-11-03,86,4.0,17.0,19.0,30.0,24.0,39.0,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2012,11,3,41
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86.0,2.0,73.0,69.0,38.0,48.0,1,4,2,5,8,0,0,0,0,0,0,3,11,0,2012,8,8,44
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1.0,1.0,556.0,1.0,1.0,1.0,15,0,28,0,1,0,0,0,0,0,0,3,11,0,2013,1,6,47
1993,1949,Phd,Married,58607.0,0,1,2012-12-23,63,867.0,0.0,86.0,0.0,0.0,19.0,3,2,3,9,8,0,1,0,0,0,0,3,11,0,2012,12,23,77
4047,1954,Phd,Married,65324.0,0,1,2014-01-11,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,0,0,0,0,0,0,3,11,0,2014,1,11,72
1409,1951,Graduation,Married,40689.0,0,1,2013-03-18,69,270.0,3.0,27.0,39.0,6.0,99.0,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2013,3,18,75
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6.0,4.0,25.0,15.0,12.0,13.0,2,2,1,3,7,0,0,0,0,0,0,3,11,0,2013,1,2,57
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173.0,4.0,30.0,3.0,6.0,41.0,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2013,5,27,50
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5.0,1.0,3.0,3.0,81.0,126.5,0,27,0,0,1,0,0,0,0,0,0,3,11,0,2013,2,20,40
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36.0,2.0,42.0,20.0,21.0,10.0,2,2,1,4,3,0,0,0,0,0,0,3,11,0,2013,5,31,37
1966,1965,Phd,Married,84618.0,0,0,2013-11-22,96,684.0,81.0,556.0,21.0,66.0,0.0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,2013,11,22,61
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8.0,4.0,10.0,2.0,2.0,4.0,2,3,0,3,5,0,0,0,0,0,0,3,11,0,2014,5,22,37
3033,1963,Master,Married,38620.0,0,0,2013-05-11,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013,5,11,63
5710,1970,Graduation,Married,40548.0,0,1,2012-10-10,31,110.0,0.0,5.0,2.0,0.0,3.0,2,2,1,4,5,0,1,0,0,0,0,3,11,0,2012,10,10,56
7373,1952,Phd,Divorced,46610.0,0,2,2012-10-29,8,96.0,12.0,96.0,33.0,22.0,43.0,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2012,10,29,74
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482.0,34.0,471.0,119.0,68.0,22.0,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2013,2,20,80
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40.0,0.0,19.0,2.0,1.0,3.0,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,8,29,75
4339,1970,Phd,Married,67353.0,0,1,2013-12-31,37,702.0,17.0,151.0,0.0,8.0,35.0,5,5,6,12,2,0,0,0,0,0,0,3,11,0,2013,12,31,56
10755,1976,2N Cycle,Married,23718.0,1,0,2013-09-02,76,6.0,3.0,14.0,15.0,7.0,36.0,3,3,1,2,7,0,0,0,0,0,0,3,11,0,2013,9,2,50
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2014,2,11,53
2968,1943,Phd,Divorced,48948.0,0,0,2013-02-01,53,437.0,8.0,206.0,120.5,49.0,42.0,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2013,2,1,83
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421.0,76.0,536.0,82.0,81.0,102.0,2,8,6,5,4,0,0,0,0,0,0,3,11,0,2013,4,29,46
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13.0,1.0,29.0,3.0,0.0,7.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013,3,12,41
8430,1957,Graduation,Married,21994.0,0,1,2012-12-24,4,9.0,0.0,6.0,3.0,1.0,3.0,1,0,0,3,5,0,0,0,0,0,0,3,11,0,2012,12,24,69
7281,1959,Phd,Single,51381.5,0,0,2013-11-05,80,81.0,11.0,50.0,3.0,2.0,39.0,1,1,3,4,2,0,0,0,0,0,0,3,11,0,2013,11,5,67
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3.0,1.0,10.0,3.0,2.0,12.0,3,2,0,3,5,0,0,0,0,0,0,3,11,0,2013,10,2,51
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123.0,81.0,266.0,120.5,30.0,126.5,1,2,4,9,1,0,0,0,0,0,0,3,11,0,2014,6,28,50
9909,1996,2N Cycle,Married,7500.0,0,0,2012-11-09,24,3.0,18.0,14.0,15.0,22.0,50.0,3,3,1,3,9,0,0,0,0,0,0,3,11,1,2012,11,9,30
7286,1968,Graduation,Married,41728.0,1,0,2013-05-24,92,13.0,6.0,15.0,3.0,5.0,13.0,1,2,0,2,10,0,0,0,0,0,0,3,11,0,2013,5,24,58
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48.0,5.0,48.0,6.0,10.0,7.0,3,2,1,4,6,0,0,0,0,0,0,3,11,0,2014,1,1,75
6566,1954,Phd,Married,72550.0,1,1,2012-11-08,39,826.0,50.0,317.0,50.0,38.0,38.0,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2012,11,8,72
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245.0,19.0,125.0,37.0,67.0,14.0,1,4,2,10,2,0,0,0,0,0,0,3,11,0,2014,5,12,69
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650.0,37.0,556.0,27.0,81.0,32.0,1,6,9,13,3,0,0,0,0,0,0,3,11,0,2012,8,11,62
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12.0,6.0,20.0,30.0,1.0,3.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,1,2,49
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510.0,81.0,550.0,120.5,40.0,126.5,1,4,9,7,1,1,0,0,1,0,0,3,11,1,2014,6,7,49
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328.0,9.0,124.0,12.0,24.0,109.0,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2013,6,12,48
6260,1955,Master,Married,82384.0,0,0,2012-11-19,55,984.0,51.0,432.0,120.5,81.0,126.5,1,3,10,13,1,0,0,1,0,0,0,3,11,1,2012,11,19,71
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295.0,35.0,482.0,120.5,81.0,40.0,1,5,5,10,3,0,0,0,0,0,0,3,11,1,2013,4,2,60
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13.0,0.0,8.0,2.0,1.0,5.0,1,1,0,4,3,0,0,0,0,0,0,3,11,0,2014,4,28,38
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11.0,3.0,22.0,2.0,2.0,6.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013,6,17,44
8375,1968,Phd,Married,55954.0,0,1,2014-03-03,63,447.0,0.0,28.0,0.0,0.0,43.0,3,8,2,6,7,0,0,0,0,0,0,3,11,0,2014,3,3,58
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712.0,26.0,538.0,69.0,13.0,80.0,1,3,6,11,1,0,1,1,0,0,0,3,11,1,2013,7,4,44
3076,1975,Graduation,Married,66653.0,1,1,2012-09-07,18,452.0,18.0,102.0,16.0,18.0,6.0,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2012,9,7,51
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523.0,7.0,134.0,37.0,14.0,126.5,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2013,2,18,74
6518,1951,Phd,Widow,67680.0,0,1,2013-06-11,8,546.0,0.0,48.0,0.0,6.0,6.0,1,7,3,8,5,0,0,0,0,0,0,3,11,0,2013,6,11,75
4137,1948,Graduation,Married,70666.0,0,0,2013-12-06,29,398.0,40.0,367.0,119.0,81.0,30.0,1,7,4,4,4,0,0,0,0,0,0,3,11,0,2013,12,6,78
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1.0,3.0,6.0,3.0,6.0,15.0,1,1,1,2,7,0,0,0,0,0,0,3,11,1,2013,5,21,55
1386,1967,Graduation,Married,32474.0,1,1,2014-05-11,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014,5,11,59
9369,1979,2N Cycle,Single,88194.0,0,1,2014-03-19,19,688.0,14.0,309.0,120.5,24.0,38.0,1,11,10,10,5,1,0,0,1,0,0,3,11,1,2014,3,19,47
4477,1958,Graduation,Married,69096.0,0,1,2013-09-27,4,247.0,49.0,159.0,7.0,81.0,109.0,1,5,2,10,4,0,0,0,0,0,0,3,11,0,2013,9,27,68
1357,1970,Graduation,Married,74854.0,1,2,2013-04-08,90,856.0,59.0,487.0,58.0,29.0,73.0,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2013,4,8,56
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496.0,36.0,460.0,120.5,60.0,12.0,3,4,8,6,3,0,0,0,0,0,0,3,11,0,2012,9,11,72
10629,1973,2N Cycle,Married,51381.5,1,0,2012-09-14,25,25.0,3.0,43.0,17.0,4.0,17.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,9,14,53
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258.0,81.0,291.0,84.0,37.0,86.0,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2013,3,17,67
8132,1975,Phd,Married,60631.0,1,1,2013-04-05,88,565.0,6.0,65.0,0.0,6.0,19.0,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2013,4,5,51
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14.0,10.0,13.0,4.0,15.0,9.0,1,2,1,4,2,0,0,0,0,0,0,3,11,0,2014,4,30,74
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2.0,1.0,6.0,2.0,1.0,1.0,1,1,0,2,6,0,0,0,0,0,0,3,11,0,2012,12,19,49
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721.0,81.0,556.0,97.0,18.0,18.0,1,7,6,5,5,0,0,0,0,0,0,3,11,1,2012,8,27,54
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032.0,81.0,556.0,120.5,81.0,51.0,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2012,10,12,50
10401,1976,2N Cycle,Married,26326.0,0,0,2013-09-04,12,1.0,0.0,5.0,0.0,3.0,9.0,1,0,0,3,3,0,0,0,0,0,1,3,11,0,2013,9,4,50
1618,1965,Graduation,Married,56046.0,0,0,2013-01-02,9,577.0,0.0,64.0,0.0,0.0,51.0,2,10,1,8,8,1,0,0,0,0,0,3,11,1,2013,1,2,61
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64.0,4.0,68.0,7.0,5.0,17.0,4,3,1,4,8,0,0,0,0,0,0,3,11,0,2012,8,29,41
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4.0,1.0,5.0,2.0,0.0,4.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013,6,23,57
5346,1973,2N Cycle,Married,23559.0,1,0,2013-07-03,87,25.0,5.0,19.0,7.0,0.0,23.0,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2013,7,3,53
4119,1963,Master,Married,38620.0,0,0,2013-05-11,56,112.0,17.0,44.0,34.0,22.0,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013,5,11,63
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163.0,23.0,424.0,27.0,65.0,76.0,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2014,2,25,39
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17.0,8.0,14.0,10.0,4.0,3.0,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2013,8,11,66
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130.0,0.0,16.0,0.0,0.0,5.0,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2013,7,16,56
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,0,1,0,1,0,0,3,11,1,2014,5,28,69
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350.0,60.0,556.0,110.0,81.0,126.5,1,5,6,7,2,0,0,1,0,0,0,3,11,0,2014,5,12,53
771,1967,Graduation,Married,54178.0,0,1,2014-01-21,79,135.0,9.0,39.0,4.0,0.0,7.0,1,2,2,5,2,0,0,0,0,0,0,3,11,0,2014,1,21,59
8996,1957,Phd,Married,51381.5,2,1,2012-11-19,4,230.0,42.0,192.0,49.0,37.0,53.0,12,7,2,8,9,0,0,0,0,0,0,3,11,0,2012,11,19,69
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7.0,0.0,8.0,2.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014,5,27,69
5798,1973,Master,Married,51381.5,0,0,2013-11-23,87,445.0,37.0,359.0,98.0,28.0,18.0,1,2,4,8,1,0,0,0,0,0,0,3,11,0,2013,11,23,53
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15.0,2.0,10.0,0.0,1.0,4.0,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2014,3,23,54
2230,1970,Phd,Married,23626.0,1,0,2014-05-24,84,27.0,2.0,14.0,0.0,0.0,0.0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,2014,5,24,56
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5.0,3.0,11.0,12.0,5.0,9.0,1,2,0,3,6,0,0,0,0,0,0,3,11,0,2014,5,22,43
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505.0,0.0,26.0,0.0,0.0,75.0,5,7,4,6,6,0,1,0,0,0,0,3,11,0,2012,11,22,66
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51.0,2.0,7.0,0.0,1.0,2.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,4,11,54
4646,1951,2N Cycle,Married,78497.0,0,0,2013-12-01,44,207.0,26.0,447.0,75.0,0.0,126.5,1,5,7,12,2,0,0,0,1,0,0,3,11,0,2013,12,1,75
3037,1983,Phd,Married,50150.0,0,0,2013-06-20,32,135.0,46.0,92.0,65.0,61.0,11.0,2,5,2,7,5,0,0,0,0,0,0,3,11,0,2013,6,20,43
1473,1960,2N Cycle,Single,47823.0,0,1,2013-07-23,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013,7,23,66
1016,1959,Phd,Single,34554.0,0,1,2014-03-30,43,41.0,1.0,6.0,2.0,0.0,5.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2014,3,30,67
4518,1979,Graduation,Married,85693.0,0,1,2013-04-20,59,386.0,81.0,183.0,120.5,81.0,111.0,2,9,5,11,5,0,0,0,0,0,0,3,11,0,2013,4,20,47
9370,1945,Phd,Married,65846.0,0,0,2013-05-17,68,562.0,81.0,276.0,80.0,40.0,81.0,1,6,3,6,4,0,0,0,0,0,0,3,11,0,2013,5,17,81
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217.0,76.0,556.0,50.0,26.0,38.0,1,3,11,5,1,0,0,0,0,0,0,3,11,1,2014,5,8,67
8373,1979,Basic,Married,24594.0,1,0,2013-12-10,94,1.0,3.0,6.0,10.0,0.0,9.0,1,1,0,3,5,0,0,0,0,0,0,3,11,0,2013,12,10,47
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144.0,1.0,32.0,2.0,1.0,7.0,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2013,9,24,62
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295.0,81.0,271.0,75.0,81.0,65.0,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2013,2,2,57
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76.0,3.0,31.0,4.0,4.0,27.0,2,3,1,3,7,0,0,0,0,0,0,3,11,0,2012,12,19,48
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454.0,81.0,106.0,31.0,22.0,43.0,1,5,4,4,2,0,0,0,0,0,0,3,11,0,2012,12,7,66
5077,1979,Graduation,Married,77298.0,0,1,2013-11-02,46,425.0,81.0,292.0,23.0,35.0,79.0,1,6,6,11,3,0,0,0,0,0,0,3,11,0,2013,11,2,47
7431,1991,Phd,Single,68126.0,0,0,2012-11-10,40,1224.0,17.0,311.0,23.0,51.0,86.0,1,7,4,5,9,0,1,0,0,0,0,3,11,1,2012,11,10,35
3267,1963,Master,Married,57288.0,0,1,2014-06-25,27,527.0,0.0,21.0,0.0,0.0,60.0,3,8,1,8,6,0,1,0,0,0,0,3,11,0,2014,6,25,63
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490.0,44.0,125.0,29.0,20.0,22.0,1,6,7,11,3,0,1,1,0,0,0,3,11,1,2013,1,2,35
9215,1980,Phd,Married,43974.0,1,0,2012-12-12,19,378.0,0.0,101.0,0.0,0.0,72.0,5,6,4,6,7,0,0,0,0,0,0,3,11,0,2012,12,12,46
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64.0,1.0,21.0,0.0,1.0,27.0,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2013,9,10,64
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547.0,81.0,556.0,120.5,81.0,33.0,0,4,6,5,1,0,0,1,1,0,0,3,11,0,2014,1,24,56
367,1978,2N Cycle,Married,36550.0,1,0,2013-02-19,74,47.0,81.0,94.0,120.5,81.0,120.0,5,9,1,5,9,0,0,0,0,0,0,3,11,0,2013,2,19,48
5234,1967,2N Cycle,Married,30753.0,1,1,2013-07-11,85,12.0,5.0,25.0,0.0,9.0,30.0,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2013,7,11,59
9862,1969,Graduation,Married,21918.0,1,0,2013-11-14,37,1.0,6.0,7.0,11.0,5.0,3.0,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013,11,14,57
9805,1953,Master,Married,56129.0,0,1,2013-06-20,65,320.0,48.0,133.0,39.0,72.0,48.0,4,6,2,10,4,0,0,0,0,0,0,3,11,0,2013,6,20,73
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34.0,3.0,29.0,0.0,4.0,10.0,3,2,1,3,5,0,0,0,0,0,0,3,11,1,2014,2,24,59
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9.0,0.0,7.0,3.0,4.0,7.0,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2013,9,4,41
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17.0,0.0,14.0,7.0,3.0,2.0,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2013,4,22,50
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722.0,27.0,102.0,44.0,72.0,126.5,0,6,8,13,2,0,1,1,1,0,0,3,11,1,2013,3,12,43
1491,1965,2N Cycle,Married,71488.0,0,0,2013-02-18,87,162.0,33.0,124.0,40.0,28.0,126.5,2,3,4,7,1,0,0,0,0,0,0,3,11,0,2013,2,18,61
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450.0,81.0,556.0,120.5,0.0,126.5,1,3,6,6,1,0,0,0,0,0,0,3,11,1,2013,4,21,42
3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70.0,0.0,16.0,0.0,0.0,4.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2014,6,8,73
8268,1961,Phd,Married,51381.5,0,1,2013-07-11,23,352.0,0.0,27.0,10.0,0.0,15.0,3,6,1,7,6,0,0,0,0,0,0,3,11,0,2013,7,11,65
11051,1956,Phd,Married,77376.0,1,1,2014-05-10,72,492.0,19.0,110.0,16.0,12.0,12.0,4,6,3,10,4,0,0,0,0,0,0,3,11,0,2014,5,10,70
8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120.0,58.0,73.0,65.0,81.0,58.0,5,5,4,5,5,0,0,0,0,0,0,3,11,0,2013,9,30,74
433,1958,Master,Single,61331.0,1,1,2013-03-10,42,534.0,5.0,47.0,0.0,5.0,41.0,5,11,1,6,8,0,0,0,0,0,0,3,11,0,2013,3,10,68
9597,1969,Graduation,Married,73448.0,0,0,2014-02-10,10,236.0,81.0,189.0,23.0,41.0,126.5,1,7,2,9,4,0,0,0,0,0,0,3,11,0,2014,2,10,57
1295,1963,Graduation,Married,51381.5,0,1,2013-08-11,96,231.0,65.0,196.0,38.0,71.0,124.0,1,6,5,7,4,0,0,0,0,0,0,3,11,0,2013,8,11,63
5290,1964,Phd,Married,41551.0,1,1,2013-08-14,51,220.0,0.0,33.0,3.0,0.0,23.0,5,5,1,5,8,0,0,0,0,0,0,3,11,0,2013,8,14,62
1685,1967,Phd,Married,62981.0,0,0,2013-03-17,21,796.0,14.0,556.0,38.0,44.0,0.0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,2013,3,17,59
5342,1976,Basic,Divorced,9548.0,1,0,2012-08-08,31,0.0,1.0,3.0,10.0,6.0,9.0,2,1,0,3,8,0,0,0,0,0,0,3,11,0,2012,8,8,50
9579,1959,Phd,Married,33762.0,2,1,2013-07-07,61,53.0,1.0,34.0,2.0,0.0,16.0,3,2,2,2,8,0,0,0,0,0,0,3,11,0,2013,7,7,67
7660,1973,Phd,Single,35860.0,1,1,2014-05-19,37,15.0,0.0,8.0,4.0,2.0,20.0,2,1,1,2,5,1,0,0,0,0,0,3,11,1,2014,5,19,53
1461,1965,Phd,Divorced,36921.0,1,1,2013-07-28,74,17.0,1.0,12.0,3.0,1.0,4.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,7,28,61
821,1992,Master,Single,92859.0,0,0,2012-10-19,46,962.0,61.0,556.0,52.0,61.0,20.0,1,5,4,12,2,0,0,0,0,0,0,3,11,0,2012,10,19,34
11084,1976,Master,Married,65104.0,0,1,2013-11-14,4,738.0,0.0,232.0,13.0,20.0,50.0,2,3,5,7,7,0,0,0,0,0,0,3,11,1,2013,11,14,50
8690,1962,Graduation,Married,86111.0,0,0,2013-04-19,73,399.0,28.0,556.0,36.0,40.0,126.0,1,5,7,10,2,0,0,0,0,0,0,3,11,0,2013,4,19,64
2937,1974,Phd,Single,68352.0,0,1,2013-08-28,47,614.0,16.0,132.0,43.0,33.0,33.0,3,8,5,9,6,0,0,0,0,0,0,3,11,0,2013,8,28,52
9701,1988,Graduation,Married,41883.0,1,0,2013-03-19,13,32.0,34.0,41.0,73.0,16.0,116.0,3,4,2,3,7,0,0,0,0,0,0,3,11,0,2013,3,19,38
